day,region_id,susceptible,infected,recovered,dead
29,13,1199999,0,1,0
29,14,1049999,0,1,0
29,15,659999,0,1,0
29,16,579999,0,1,0
29,17,319999,0,1,0
29,18,84999,0,1,0
29,19,86999,0,1,0
30,1,8469999,0,1,0
30,2,7799999,0,1,0
30,3,6759999,0,1,0
30,4,5099999,0,1,0
30,5,2699999,0,1,0
30,6,2399999,0,1,0
30,7,2199999,0,1,0
30,8,2199999,0,1,0
30,9,1999999,0,1,0
30,10,1499999,0,1,0
30,11,1299999,0,1,0
30,12,999999,0,1,0
30,13,1199999,0,1,0
30,14,1049999,0,1,0
30,15,659999,0,1,0
30,16,579999,0,1,0
30,17,319999,0,1,0
30,18,84999,0,1,0
30,19,86999,0,1,0
31,1,8469999,0,1,0
31,2,7799999,0,1,0
31,3,6759999,0,1,0
31,4,5099999,0,1,0
31,5,2699999,0,1,0
31,6,2399999,0,1,0
31,7,2199999,0,1,0
31,8,2199999,0,1,0
31,9,1999999,0,1,0
31,10,1499999,0,1,0
31,11,1299999,0,1,0
31,12,999999,0,1,0
31,13,1199999,0,1,0
31,14,1049999,0,1,0
31,15,659999,0,1,0
31,16,579999,0,1,0
31,17,319999,0,1,0
31,18,84999,0,1,0
31,19,86999,0,1,0
32,1,8469999,0,1,0
32,2,7799999,0,1,0
32,3,6759999,0,1,0
32,4,5099999,0,1,0
32,5,2699999,0,1,0
32,6,2399999,0,1,0
32,7,2199999,0,1,0
32,8,2199999,0,1,0
32,9,1999999,0,1,0
32,10,1499999,0,1,0
32,11,1299999,0,1,0
32,12,999999,0,1,0
32,13,1199999,0,1,0
32,14,1049999,0,1,0
32,15,659999,0,1,0
32,16,579999,0,1,0
32,17,319999,0,1,0
32,18,84999,0,1,0
32,19,86999,0,1,0
33,1,8469999,0,1,0
33,2,7799999,0,1,0
33,3,6759999,0,1,0
33,4,5099999,0,1,0
33,5,2699999,0,1,0
33,6,2399999,0,1,0
33,7,2199999,0,1,0
33,8,2199999,0,1,0
33,9,1999999,0,1,0
33,10,1499999,0,1,0
33,11,1299999,0,1,0
33,12,999999,0,1,0
33,13,1199999,0,1,0
33,14,1049999,0,1,0
33,15,659999,0,1,0
33,16,579999,0,1,0
33,17,319999,0,1,0
33,18,84999,0,1,0
33,19,86999,0,1,0
34,1,8469999,0,1,0
34,2,7799999,0,1,0
34,3,6759999,0,1,0
34,4,5099999,0,1,0
34,5,2699999,0,1,0
34,6,2399999,0,1,0
34,7,2199999,0,1,0
34,8,2199999,0,1,0
34,9,1999999,0,1,0
34,10,1499999,0,1,0
34,11,1299999,0,1,0
34,12,999999,0,1,0
34,13,1199999,0,1,0
34,14,1049999,0,1,0
34,15,659999,0,1,0
34,16,579999,0,1,0
34,17,319999,0,1,0
34,18,84999,0,1,0
34,19,86999,0,1,0
35,1,8469999,0,1,0
35,2,7799999,0,1,0
35,3,6759999,0,1,0
35,4,5099999,0,1,0
35,5,2699999,0,1,0
35,6,2399999,0,1,0
35,7,2199999,0,1,0
35,8,2199999,0,1,0
35,9,1999999,0,1,0
35,10,1499999,0,1,0
35,11,1299999,0,1,0
35,12,999999,0,1,0
35,13,1199999,0,1,0
35,14,1049999,0,1,0
35,15,659999,0,1,0
35,16,579999,0,1,0
35,17,319999,0,1,0
35,18,84999,0,1,0
35,19,86999,0,1,0
36,1,8469999,0,1,0
36,2,7799999,0,1,0
36,3,6759999,0,1,0
36,4,5099999,0,1,0
36,5,2699999,0,1,0
36,6,2399999,0,1,0
36,7,2199999,0,1,0
36,8,2199999,0,1,0
36,9,1999999,0,1,0
36,10,1499999,0,1,0
36,11,1299999,0,1,0
36,12,999999,0,1,0
36,13,1199999,0,1,0
36,14,1049999,0,1,0
36,15,659999,0,1,0
36,16,579999,0,1,0
36,17,319999,0,1,0
36,18,84999,0,1,0
36,19,86999,0,1,0
37,1,8469999,0,1,0
37,2,7799999,0,1,0
37,3,6759999,0,1,0
37,4,5099999,0,1,0
37,5,2699999,0,1,0
37,6,2399999,0,1,0
37,7,2199999,0,1,0
37,8,2199999,0,1,0
37,9,1999999,0,1,0
37,10,1499999,0,1,0
37,11,1299999,0,1,0
37,12,999999,0,1,0
37,13,1199999,0,1,0
37,14,1049999,0,1,0
37,15,659999,0,1,0
37,16,579999,0,1,0
37,17,319999,0,1,0
37,18,84999,0,1,0
37,19,86999,0,1,0
38,1,8469999,0,1,0
38,2,7799999,0,1,0
38,3,6759999,0,1,0
